
> firebotsync@0.1.0 dev
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.139.84.97:3000
✓ Ready in 733ms

 GET / 200 in 1347ms (next.js: 868ms, application-code: 478ms)
 POST /api/logs 200 in 257ms (next.js: 194ms, application-code: 63ms)
 POST /api/logs 200 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/logs 200 in 21ms (next.js: 7ms, application-code: 14ms)
 POST /api/logs 200 in 19ms (next.js: 8ms, application-code: 11ms)
 POST /api/logs 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 14ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 24ms (next.js: 12ms, application-code: 13ms)
 POST /api/logs 200 in 14ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 46ms (next.js: 28ms, application-code: 17ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/logs 200 in 20ms (next.js: 6ms, application-code: 14ms)
 POST /api/logs 200 in 18ms (next.js: 7ms, application-code: 10ms)
 POST /api/logs 200 in 22ms (next.js: 8ms, application-code: 14ms)
 POST /api/logs 200 in 13ms (next.js: 6ms, application-code: 7ms)
 POST /api/logs 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/logs 200 in 16ms (next.js: 6ms, application-code: 10ms)
 POST /api/logs 200 in 20ms (next.js: 15ms, application-code: 5ms)
 POST /api/logs 200 in 16ms (next.js: 5ms, application-code: 11ms)
 POST /api/logs 200 in 13ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 21ms (next.js: 13ms, application-code: 8ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 14ms (next.js: 6ms, application-code: 9ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 7ms)
 POST /api/logs 200 in 14ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 14ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 32ms (next.js: 13ms, application-code: 19ms)
 POST /api/logs 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/logs 200 in 12ms (next.js: 7ms, application-code: 6ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 46ms (next.js: 14ms, application-code: 33ms)
 POST /api/logs 200 in 13ms (next.js: 5ms, application-code: 8ms)
 POST /api/logs 200 in 14ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 61ms (next.js: 20ms, application-code: 41ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 27ms (next.js: 8ms, application-code: 19ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/logs 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/logs 200 in 21ms (next.js: 8ms, application-code: 13ms)
 POST /api/logs 200 in 21ms (next.js: 7ms, application-code: 14ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 23ms (next.js: 9ms, application-code: 14ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 7ms)
 POST /api/logs 200 in 13ms (next.js: 5ms, application-code: 8ms)
 POST /api/logs 200 in 34ms (next.js: 15ms, application-code: 20ms)
 POST /api/logs 200 in 20ms (next.js: 6ms, application-code: 14ms)
 POST /api/logs 200 in 14ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 21ms (next.js: 7ms, application-code: 14ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 18ms (next.js: 6ms, application-code: 12ms)
